id,指标主键,quota_level,建议ID,风险级别,画像类别,驾驶员建议内容,管理员建议内容,建议来源
479,单位画像-车辆风险-故障风险-急停,3,481,4,单位画像,,建立急停指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
480,单位画像-车辆风险-故障风险-门开禁启开关,3,482,4,单位画像,,建立门开禁启开关指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
481,单位画像-车辆风险-故障风险-停车不挂N档,3,483,4,单位画像,,建立停车不挂N档指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
482,单位画像-车辆风险-故障风险-不规范开关门,3,484,4,单位画像,,建立不规范开关门指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
483,单位画像-车辆风险-故障风险-安全启动,3,485,4,单位画像,,建立安全启动指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
484,单位画像-车辆风险-故障风险-违规使用空调,3,486,4,单位画像,,建立违规使用空调指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
485,单位画像-车辆风险-故障风险-平路不规范行为,3,487,4,单位画像,,建立平路不规范行为指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
486,单位画像-车辆风险-故障风险-上坡不规范行为,3,488,4,单位画像,,建立上坡不规范行为指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
487,单位画像-车辆风险-故障风险-下坡不规范行为,3,489,4,单位画像,,建立下坡不规范行为指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
488,单位画像-车辆风险-故障风险-违规使用总电,3,490,4,单位画像,,建立违规使用总电指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
489,单位画像-车辆风险-故障风险-路口大油门,3,491,4,单位画像,,建立路口大油门指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
490,单位画像-车辆风险-故障风险-进站违规制动,3,492,4,单位画像,,建立进站违规制动指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
491,单位画像-车辆风险-故障风险-区间超速,3,493,4,单位画像,,建立区间超速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
492,单位画像-车辆风险-故障风险-全局超速,3,494,4,单位画像,,建立全局超速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
493,单位画像-车辆风险-故障风险-左转弯未刹车,3,495,4,单位画像,,建立左转弯未刹车指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
494,单位画像-车辆风险-故障风险-右转弯未刹车,3,496,4,单位画像,,建立右转弯未刹车指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
495,单位画像-车辆风险-能耗风险-车龄,3,497,4,单位画像,,建立车龄指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
496,单位画像-车辆风险-能耗风险-车长,3,498,4,单位画像,,建立车长指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
497,单位画像-车辆风险-能耗风险-电池容量,3,499,4,单位画像,,建立电池容量指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
498,单位画像-车辆风险-能耗风险-车辆品牌,3,500,4,单位画像,,建立车辆品牌指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
499,单位画像-车辆风险-能耗风险-车辆自重,3,501,4,单位画像,,建立车辆自重指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
500,单位画像-车辆风险-能耗风险-平均速度,3,502,4,单位画像,,建立平均速度指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
501,单位画像-车辆风险-能耗风险-运营时长,3,503,4,单位画像,,建立运营时长指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
502,单位画像-车辆风险-能耗风险-日充电次数,3,504,4,单位画像,,建立日充电次数指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
503,单位画像-车辆风险-能耗风险-日充电量,3,505,4,单位画像,,建立日充电量指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
504,单位画像-车辆风险-能耗风险-每公里耗电量,3,506,4,单位画像,,建立公里耗电量指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
505,单位画像-车辆风险-能耗风险-空气压缩机开启时长,3,507,4,单位画像,,建立空气压缩机开启时长指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
506,单位画像-车辆风险-能耗风险-空气压缩机开关次数,3,508,4,单位画像,,建立空气压缩机开关次数指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
507,单位画像-车辆风险-能耗风险-电池电压过低次数,3,509,4,单位画像,,建立低压蓄电池电压指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
508,单位画像-车辆风险-能耗风险-电池电流过高次数,3,510,4,单位画像,,建立低压蓄电池电流指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
509,单位画像-车辆风险-能耗风险-电池最大电流差,3,511,4,单位画像,,建立电池最大电流差指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
510,单位画像-车辆风险-能耗风险-电池最大电压差,3,512,4,单位画像,,建立电池最大电压差指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
511,单位画像-车辆风险-能耗风险-维修工单数,3,513,4,单位画像,,建立维修工单数指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
512,单位画像-车辆风险-能耗风险-ABS故障(仪表盘),3,514,4,单位画像,,建立ABS故障(仪表盘)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
513,单位画像-车辆风险-能耗风险-动力电池故障(电池),3,515,4,单位画像,,建立动力电池故障(电池)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
514,单位画像-车辆风险-能耗风险-空调工作模式(空调),3,516,4,单位画像,,建立空调工作模式(空调)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
515,单位画像-车辆风险-能耗风险-单体高低电压差(平台定义域),3,517,4,单位画像,,建立单体高低电压差(平台定义域)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
516,单位画像-车辆风险-能耗风险-左电机故障(电机),3,518,4,单位画像,,建立左电机故障(电机)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
517,单位画像-车辆风险-能耗风险-右电机故障(电机),3,519,4,单位画像,,建立右电机故障(电机)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
518,单位画像-车辆风险-能耗风险-动力电池故障(整车控制器),3,520,4,单位画像,,建立动力电池故障(整车控制器)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
519,单位画像-车辆风险-能耗风险-轮胎温度报警(轮胎),3,521,4,单位画像,,建立轮胎温度报警(轮胎)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
520,单位画像-车辆风险-能耗风险-轮胎压力监测(轮胎),3,522,4,单位画像,,每周组织车辆轮胎压力检测，对胎压异常车辆强制维修，禁止带病运营。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
521,单位画像-车辆风险-能耗风险-润滑系统故障(润滑系统),3,523,4,单位画像,,建立润滑系统故障(润滑系统)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
522,单位画像-车辆风险-能耗风险-控制器故障代码(打气泵),3,524,4,单位画像,,建立控制器故障代码(打气泵)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
523,单位画像-车辆风险-能耗风险-控制器故障代码(助力转向泵),3,525,4,单位画像,,建立控制器故障代码(助力转向泵)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
524,单位画像-车辆风险-能耗风险-控制器故障代码(DCDC),3,526,4,单位画像,,建立控制器故障代码(DCDC)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
525,单位画像-车辆风险-能耗风险-绝缘监测故障代码(绝缘监测),3,527,4,单位画像,,建立绝缘监测故障代码(绝缘监测)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
526,单位画像-车辆风险-能耗风险-线路黑点数,3,528,4,单位画像,,建立线路黑点数指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕69号 广州巴士集团有限公司关于印发安全生产管理办法》
527,单位画像-车辆风险-能耗风险-拥堵指数,3,529,4,单位画像,,建立拥堵指数指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕69号 广州巴士集团有限公司关于印发安全生产管理办法》
528,单位画像-车辆风险-能耗风险-起步急加速,3,530,4,单位画像,,建立起步急加速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
529,单位画像-车辆风险-能耗风险-急加速,3,531,4,单位画像,,分析车载数据识别急加速高频驾驶员，开展1对1平顺驾驶指导，降低行为频次。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
530,单位画像-车辆风险-能耗风险-急减速,3,532,4,单位画像,,建立急减速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
531,单位画像-车辆风险-能耗风险-急刹车,3,533,4,单位画像,,分析车载数据识别急刹车高频驾驶员，开展1对1平顺驾驶指导，降低行为频次。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
532,单位画像-车辆风险-能耗风险-斑马线不文明礼让,3,534,4,单位画像,,在斑马线密集路段增设减速标识和提示音，提醒驾驶员提前减速让行。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
533,单位画像-车辆风险-能耗风险-斑马线超速,3,535,4,单位画像,,在斑马线密集路段增设减速标识和提示音，提醒驾驶员提前减速让行。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
534,单位画像-车辆风险-能耗风险-违规使用手刹,3,536,4,单位画像,,建立违规使用手刹指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
535,单位画像-车辆风险-能耗风险-停站N档违规,3,537,4,单位画像,,建立停站N档违规指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
536,单位画像-车辆风险-能耗风险-违规使用N档,3,538,4,单位画像,,建立违规使用N档指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
537,单位画像-车辆风险-能耗风险-不规范转弯,3,539,4,单位画像,,建立不规范转弯指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
538,单位画像-车辆风险-能耗风险-车辆未停稳开车门,3,540,4,单位画像,,建立车辆未停稳开车门指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
539,单位画像-车辆风险-能耗风险-车辆起步不关车门,3,541,4,单位画像,,建立车辆起步不关车门指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
540,单位画像-车辆风险-能耗风险-空档滑行,3,542,4,单位画像,,通过车载监控抓拍空档滑行行为，对违规者开展制动安全培训，考核合格再上岗。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
541,单位画像-车辆风险-能耗风险-熄火滑行,3,543,4,单位画像,,建立熄火滑行指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
542,单位画像-车辆风险-能耗风险-不文明鸣笛,3,544,4,单位画像,,建立不文明鸣笛指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
543,单位画像-车辆风险-能耗风险-安全带行为,3,545,4,单位画像,,建立安全带行为指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
544,单位画像-车辆风险-能耗风险-不规范进站,3,546,4,单位画像,,建立不规范进站指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
545,单位画像-车辆风险-能耗风险-不规范出站,3,547,4,单位画像,,建立不规范出站指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
546,单位画像-车辆风险-能耗风险-急停,3,548,4,单位画像,,建立急停指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
547,单位画像-车辆风险-能耗风险-门开禁启开关,3,549,4,单位画像,,建立门开禁启开关指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
548,单位画像-车辆风险-能耗风险-停车不挂N档,3,550,4,单位画像,,建立停车不挂N档指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
549,单位画像-车辆风险-能耗风险-不规范开关门,3,551,4,单位画像,,建立不规范开关门指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
550,单位画像-车辆风险-能耗风险-安全启动,3,552,4,单位画像,,建立安全启动指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
551,单位画像-车辆风险-能耗风险-违规使用空调,3,553,4,单位画像,,建立违规使用空调指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
552,单位画像-车辆风险-能耗风险-平路不规范行为,3,554,4,单位画像,,建立平路不规范行为指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
553,单位画像-车辆风险-能耗风险-上坡不规范行为,3,555,4,单位画像,,建立上坡不规范行为指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
554,单位画像-车辆风险-能耗风险-下坡不规范行为,3,556,4,单位画像,,建立下坡不规范行为指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
555,单位画像-车辆风险-能耗风险-违规使用总电,3,557,4,单位画像,,建立违规使用总电指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
556,单位画像-车辆风险-能耗风险-路口大油门,3,558,4,单位画像,,建立路口大油门指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
557,单位画像-车辆风险-能耗风险-进站违规制动,3,559,4,单位画像,,建立进站违规制动指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
558,单位画像-车辆风险-能耗风险-区间超速,3,560,4,单位画像,,建立区间超速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
559,单位画像-车辆风险-能耗风险-全局超速,3,561,4,单位画像,,建立全局超速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
560,单位画像-车辆风险-能耗风险-左转弯未刹车,3,562,4,单位画像,,建立左转弯未刹车指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
561,单位画像-车辆风险-能耗风险-右转弯未刹车,3,563,4,单位画像,,建立右转弯未刹车指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
562,单位画像-线路风险-静态风险-急转弯点数量,3,564,4,单位画像,,对线路中急转弯点数量超 5 处的路段，加装凸面镜和限速警示标识，定期排查路面状况，降低转弯风险。,《穗巴士集〔2023〕69号 广州巴士集团有限公司关于印发安全生产管理办法》
563,单位画像-线路风险-静态风险-斑马线数量,3,565,4,单位画像,,在斑马线密集路段增设减速标识和提示音，提醒驾驶员提前减速让行。,《穗巴士集〔2023〕69号 广州巴士集团有限公司关于印发安全生产管理办法》
564,单位画像-线路风险-静态风险-左转弯数量,3,566,4,单位画像,,建立左转弯数量指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕69号 广州巴士集团有限公司关于印发安全生产管理办法》
565,单位画像-线路风险-静态风险-右转弯数量,3,567,4,单位画像,,建立右转弯数量指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕69号 广州巴士集团有限公司关于印发安全生产管理办法》
566,单位画像-线路风险-静态风险-上坡路段数量,3,568,4,单位画像,,建立上坡路段数量指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕69号 广州巴士集团有限公司关于印发安全生产管理办法》
567,单位画像-线路风险-静态风险-下坡路段数量,3,569,4,单位画像,,建立下坡路段数量指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕69号 广州巴士集团有限公司关于印发安全生产管理办法》
568,单位画像-线路风险-静态风险-区域限速点数量,3,570,4,单位画像,,建立区域限速点数量指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕69号 广州巴士集团有限公司关于印发安全生产管理办法》
569,单位画像-线路风险-静态风险-临水临崖数量,3,571,4,单位画像,,建立临水临崖数量指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕69号 广州巴士集团有限公司关于印发安全生产管理办法》
570,单位画像-线路风险-静态风险-学校数量,3,572,4,单位画像,,建立学校数量指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕69号 广州巴士集团有限公司关于印发安全生产管理办法》
571,单位画像-线路风险-静态风险-商场数量,3,573,4,单位画像,,建立商场数量指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕69号 广州巴士集团有限公司关于印发安全生产管理办法》
572,单位画像-线路风险-静态风险-体育馆数量,3,574,4,单位画像,,建立体育馆数量指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕69号 广州巴士集团有限公司关于印发安全生产管理办法》
573,单位画像-线路风险-静态风险-医院数量,3,575,4,单位画像,,建立医院数量指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕69号 广州巴士集团有限公司关于印发安全生产管理办法》
574,单位画像-线路风险-静态风险-老人刷卡比率,3,576,4,单位画像,,建立老人刷卡比率指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕69号 广州巴士集团有限公司关于印发安全生产管理办法》
575,单位画像-线路风险-静态风险-刷卡总次数,3,577,4,单位画像,,建立刷卡总次数指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕69号 广州巴士集团有限公司关于印发安全生产管理办法》
576,单位画像-线路风险-静态风险-总修正里程,3,578,4,单位画像,,建立总修正里程指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2023〕69号 广州巴士集团有限公司关于印发安全生产管理办法》
577,单位画像-线路风险-静态风险-事故黑点,3,579,4,单位画像,,对线路事故黑点区域增设警示标识，安排专人定期巡查，排查安全隐患。,《穗巴士集〔2023〕69号 广州巴士集团有限公司关于印发安全生产管理办法》
578,单位画像-线路风险-静态风险-行为黑点,3,580,4,单位画像,,对线路行为黑点区域增设警示标识，安排专人定期巡查，排查安全隐患。,《穗巴士集〔2023〕69号 广州巴士集团有限公司关于印发安全生产管理办法》
579,单位画像-线路风险-动态风险-日故障总数,3,581,4,单位画像,,建立日故障总数指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕164号 广州巴士集团有限公司关于印发公交营运车辆服务设施设置管理办法的通知》
580,单位画像-线路风险-动态风险-起步急加速,3,582,4,单位画像,,建立起步急加速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
581,单位画像-线路风险-动态风险-急加速,3,583,4,单位画像,,分析车载数据识别急加速高频驾驶员，开展1对1平顺驾驶指导，降低行为频次。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
582,单位画像-线路风险-动态风险-急减速,3,584,4,单位画像,,建立急减速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
583,单位画像-线路风险-动态风险-急刹车,3,585,4,单位画像,,分析车载数据识别急刹车高频驾驶员，开展1对1平顺驾驶指导，降低行为频次。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
584,单位画像-线路风险-动态风险-斑马线不文明礼让,3,586,4,单位画像,,在斑马线密集路段增设减速标识和提示音，提醒驾驶员提前减速让行。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
585,单位画像-线路风险-动态风险-斑马线超速,3,587,4,单位画像,,在斑马线密集路段增设减速标识和提示音，提醒驾驶员提前减速让行。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
586,单位画像-线路风险-动态风险-违规使用手刹,3,588,4,单位画像,,建立违规使用手刹指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
587,单位画像-线路风险-动态风险-停站N档违规,3,589,4,单位画像,,建立停站N档违规指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
588,单位画像-线路风险-动态风险-违规使用N档,3,590,4,单位画像,,建立违规使用N档指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
589,单位画像-线路风险-动态风险-不规范转弯,3,591,4,单位画像,,建立不规范转弯指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
590,单位画像-线路风险-动态风险-车辆未停稳开车门,3,592,4,单位画像,,建立车辆未停稳开车门指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
591,单位画像-线路风险-动态风险-车辆起步不关车门,3,593,4,单位画像,,建立车辆起步不关车门指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
